algorithm,seed,reference_productivity,reference_process_yield,HV
MOEAD_PBI,31,0.2,0.1,0.19013677283045746
MOEAD_PBI,37,0.0,0.0,0.3408037342554129
MOEAD_PBI,37,0.05,0.02,0.30351947542209023
MOEAD_PBI,37,0.1,0.05,0.25856484902081306
MOEAD_PBI,37,0.2,0.1,0.18632596378621322
MOEAD_PBI,41,0.0,0.0,0.3460464544368879
MOEAD_PBI,41,0.05,0.02,0.30811298884493843
MOEAD_PBI,41,0.1,0.05,0.26247903579983156
MOEAD_PBI,41,0.2,0.1,0.1889116171627748
MOEAD_PBI,43,0.0,0.0,0.35313395309606677
MOEAD_PBI,43,0.05,0.02,0.31464193543795205
MOEAD_PBI,43,0.1,0.05,0.26808728133564247
MOEAD_PBI,43,0.2,0.1,0.19304060957521843
MOEAD_PBI,47,0.0,0.0,0.35008548476924134
MOEAD_PBI,47,0.05,0.02,0.31186979176144336
MOEAD_PBI,47,0.1,0.05,0.2655809388827775
MOEAD_PBI,47,0.2,0.1,0.19107639299631363
MOEAD_PBI,53,0.0,0.0,0.35024822120423127
MOEAD_PBI,53,0.05,0.02,0.3120093814407616
MOEAD_PBI,53,0.1,0.05,0.26578666205832163
MOEAD_PBI,53,0.2,0.1,0.19132510291241164
MOEAD_PBI,59,0.0,0.0,0.3508107856263359
MOEAD_PBI,59,0.05,0.02,0.31254498302736117
MOEAD_PBI,59,0.1,0.05,0.26635543586314486
MOEAD_PBI,59,0.2,0.1,0.1919000860999537
MOEAD_PBI,61,0.0,0.0,0.34861071079613926
MOEAD_PBI,61,0.05,0.02,0.31042490141479406
MOEAD_PBI,61,0.1,0.05,0.2644561460763261
MOEAD_PBI,61,0.2,0.1,0.19030158135651276
MOEAD_PBI,67,0.0,0.0,0.3471589843724317
MOEAD_PBI,67,0.05,0.02,0.3092922386891822
MOEAD_PBI,67,0.1,0.05,0.26358649093830344
MOEAD_PBI,67,0.2,0.1,0.19001399750417508
MOEAD_PBI,71,0.0,0.0,0.34750865047497326
MOEAD_PBI,71,0.05,0.02,0.30947371888174124
MOEAD_PBI,71,0.1,0.05,0.2636399813103639
MOEAD_PBI,71,0.2,0.1,0.18977131214575435
MOEAD_PBI,73,0.0,0.0,0.33895781650423273
MOEAD_PBI,73,0.05,0.02,0.3017792594130309
MOEAD_PBI,73,0.1,0.05,0.25713739508381417
MOEAD_PBI,73,0.2,0.1,0.18531697366339545
MOEAD_PBI,79,0.0,0.0,0.34151749564727635
MOEAD_PBI,79,0.05,0.02,0.30410398681327555
MOEAD_PBI,79,0.1,0.05,0.25896131303380465
MOEAD_PBI,79,0.2,0.1,0.18640513042033321
MOEAD_PBI,83,0.0,0.0,0.351444570250442
MOEAD_PBI,83,0.05,0.02,0.313106945918427
MOEAD_PBI,83,0.1,0.05,0.2667414218603666
