algorithm,seed,Yhp,Yhc,D,productivity_DH,process_yield_H_Gin,Bp,Bc,G,A,Hp,Hc,H_total
NSGA2,3,0.6941918308159782,0.6136220008716047,0.16250133270385714,0.9213947006167141,0.2835037366419223,2.3208465451304376,0.2529361433215492,0.7422371296637394,0.021139263530473767,5.268376958358952,0.40169777447949323,5.6700747328384455
NSGA2,3,0.8625605852527649,0.8195295877588004,0.06832520101181155,0.4720976305086302,0.34547840585717227,1.0190265337468278,0.11323876483664247,0.534636127125173,0.016831469743848186,6.395342449276857,0.5142256678665881,6.909568117143445
NSGA2,3,0.8547986983036573,0.8047732178843451,0.07211778165255983,0.49572253323201826,0.34368953250687134,1.0807639170448509,0.1240448476654282,0.5089188715342966,0.015301285684251814,6.362447021277425,0.5113436288600026,6.873790650137427
NSGA2,3,0.5055600372424958,0.36611305817550416,0.27524737386080933,1.1086329606987957,0.20138847196766055,3.6956768166717606,0.43107614969359886,1.1558188019108324,0.021874075818913628,3.7787934831415413,0.24897595621166968,4.027769439353211
NSGA2,3,0.7407064183383203,0.6646694791121185,0.13558853111809926,0.8211028335736691,0.3027921413421311,1.9676916675081177,0.21939567562035273,0.6453713135773415,0.018713724502766645,5.620971557004383,0.434871269838239,6.055842826842622
NSGA2,3,0.7476283315957799,0.6650213135081348,0.13293110602015387,0.8100522277232519,0.30468874139978896,1.9068800969394837,0.2240579621072278,0.6769879261167893,0.017252140564615985,5.648960497200668,0.44481433079511157,6.093774827995779
NSGA2,3,0.8904436571671677,0.8338293568475081,0.052076083402532,0.36643083714894137,0.35182257689825136,0.7987218986860548,0.10854336020754647,0.41397753733884424,0.009848214010894371,6.49179070910328,0.5446608288617475,7.036451537965028
NSGA2,3,0.5955084680089208,0.44656108929285576,0.22346932716724088,1.068671046601878,0.23910911178474653,3.033669451377898,0.39149834267782224,0.9683010182628293,0.016662929077252833,4.4662884252305135,0.315893810464417,4.782182235694931
NSGA2,3,0.7139791193280696,0.6177764242201222,0.15257936652638632,0.8871330303889958,0.29071199159670763,2.1610823267696473,0.25963603410831587,0.7327735272953763,0.01715417374275646,5.394597949763855,0.4196418821702971,5.814239831934152
NSGA2,3,0.7671052293498318,0.6935929462234993,0.12133725907594557,0.7590306884068837,0.3127772516815312,1.7605191268304143,0.20178810130176156,0.6338486856477443,0.017513104287193704,5.798770941880036,0.4567740917505882,6.255545033630624
NSGA2,3,0.7268635399026413,0.667691917639655,0.13898743011527182,0.8327322958298177,0.29957108176587466,2.0972466664512726,0.20419707883905158,0.5407155736476094,0.022293523818245398,5.5811374852057964,0.41028415011169755,5.991421635317494
NSGA2,3,0.7575293733407482,0.6744402512801213,0.12934780294142545,0.7940346521640539,0.3069378196255984,1.8179981930168467,0.22153860177818774,0.7690749856573496,0.017047835159464203,5.679809760322224,0.4589466321897441,6.138756392511969
NSGA2,3,0.8437560290444345,0.7935994971943605,0.0773645333978314,0.527505024938829,0.3409217387935642,1.1705782776848512,0.12926645704184522,0.4890649803174465,0.01605355605911176,6.321411784560519,0.49702299131076444,6.8184347758712835
NSGA2,3,0.7048802797890135,0.6071276669081607,0.15815905363198357,0.9069036535760937,0.2867062089554309,2.227858111444928,0.2672422930391012,0.7649335191867591,0.01755617640658363,5.321139664278737,0.4129845148298805,5.734124179108618
NSGA2,3,0.6903613687495651,0.5977701027528567,0.16725223401187722,0.9368105338718017,0.2800591990314686,2.3315643491055336,0.2710344861783251,0.8511429902045683,0.01964223512389103,5.198388679332221,0.40279530129715085,5.601183980629372
NSGA2,3,0.8242729120630495,0.7504608700582808,0.08809589167413064,0.5891736352937451,0.3343933661930094,1.3197270601130071,0.16542588665140165,0.4885919220084734,0.012643611744096554,6.190367573598303,0.49749975026188514,6.687867323860188
NSGA2,3,0.7086299340005231,0.6112251265142215,0.1565492454650513,0.9012045365466076,0.28783419998910065,2.195489991687835,0.2653109035669567,0.7870396268291779,0.017518754375743593,5.3395667896487105,0.4171172101333023,5.7566839997820125
