algorithm,seed,HV,Spacing,n_non_dominated,time_seconds,n_function_evaluations,n_feasible_evaluations,n_infeasible_evaluations,IGD_plus,Epsilon
MOEAD_WS,29,0.35147899789109677,0.027816842925317404,92,222.59396969998488,10000,7767,2233,0.006151777348284634,0.03505811928873315
MOEAD_WS,31,0.3521170212115843,0.024660410785931813,100,225.42976450000424,10000,7813,2187,0.0047115479567963236,0.02187835132381516
MOEAD_WS,37,0.3496476154577417,0.03200563937893604,100,223.09354630002053,10000,7846,2154,0.00666381265311641,0.030278822160139218
MOEAD_WS,41,0.3507518394640311,0.03278029098305629,92,222.1520394999534,10000,7700,2300,0.005515021708882568,0.031577840123253265
MOEAD_WS,43,0.3512304828565984,0.029289895740809088,100,223.30992610001704,10000,7731,2269,0.0058943255853993745,0.02768244076716514
MOEAD_WS,47,0.34239351597645934,0.04156581347783692,98,219.16127969999798,10000,7830,2170,0.011887950246652861,0.05602620187794333
MOEAD_WS,53,0.3512449562144955,0.027253903540794728,95,224.88669449998997,10000,7783,2217,0.006381238992768875,0.031407490092115686
MOEAD_WS,59,0.34982906239388933,0.03083788859989129,100,224.0510904000257,10000,7777,2223,0.0070534180347001105,0.025934280710872504
MOEAD_WS,61,0.3517207717109219,0.026408839162649415,100,221.10381409997353,10000,7839,2161,0.004911073842684729,0.028825530823877454
MOEAD_WS,67,0.35212401405244215,0.025309572851723524,98,222.8797167999437,10000,7765,2235,0.00571399976892589,0.022530204247100283
MOEAD_WS,71,0.34988302361418155,0.02983797648124264,100,224.3356153999921,10000,7795,2205,0.0076437858921818095,0.030049555650684456
MOEAD_WS,73,0.3517323660307613,0.027875335626814803,100,223.13420299999416,10000,7732,2268,0.005319610054353991,0.024170525037050306
MOEAD_WS,79,0.352474525116821,0.02706317359711522,95,223.95368999999482,10000,7850,2150,0.004704319672613307,0.02159444248122222
MOEAD_WS,83,0.3493541034453251,0.03292586300369408,97,222.50561450002715,10000,7752,2248,0.006942490401312163,0.03538372975035314
MOEAD_WS,89,0.3527999636275446,0.02241225641434989,95,222.29020670003956,10000,7779,2221,0.005501758254862394,0.025372326554289615
MOEAD_WS,97,0.347218189616849,0.03543673726797039,88,225.33103729999857,10000,7848,2152,0.007835425647827259,0.03146253248856057
MOEAD_WS,101,0.3516559775130322,0.027318070227560446,100,223.2784907000023,10000,7832,2168,0.0056708655060507965,0.031043262312163034
MOEAD_WS,103,0.35146870408611725,0.028353750373774887,98,223.27619599999161,10000,7788,2212,0.005663714549553794,0.027595866266463487
MOEAD_WS,107,0.3462059864731803,0.03699198798814132,100,221.44927569996798,10000,7745,2255,0.008971774982295953,0.04686110191115217
MOEAD_WS,109,0.3513382951246023,0.02798350115358795,100,223.16410609998275,10000,7708,2292,0.005697978016458198,0.02916802089316123
MOEAD_WS,113,0.3527925234316656,0.022893426478869324,100,224.31472080003005,10000,7851,2149,0.005525755356625616,0.026965466349881784
MOEAD_ASF,2,0.3516812249185462,0.011651196383136466,100,230.48724750004476,10000,7483,2517,0.00264907714876683,0.02127123013289478
MOEAD_ASF,3,0.3536605665509256,0.010506818427738745,99,227.54642600001534,10000,7456,2544,0.006302599299804167,0.006595616821958417
MOEAD_ASF,5,0.3487305260581103,0.009449642635604306,100,229.81232610001462,10000,7623,2377,0.00870541374761078,0.024234989078032898
MOEAD_ASF,7,0.35482637614056206,0.011364999982906703,100,229.66057549999095,10000,7340,2660,0.0013113727979759187,0.008029330595266115
MOEAD_ASF,11,0.34946167672080714,0.013687765287086227,96,227.6062426000135,10000,7540,2460,0.00382296443162266,0.03095239928305049
MOEAD_ASF,13,0.3539025264116228,0.008836534998170668,97,229.71802019997267,10000,7421,2579,0.008602888917980844,0.012981599758712659
MOEAD_ASF,17,0.3532476646368367,0.014126873299443928,96,227.51363479997963,10000,7283,2717,0.00169822964010266,0.011911605410556358
MOEAD_ASF,19,0.35423651934713746,0.008268279346599936,99,226.0903749000281,10000,7478,2522,0.008060488167808192,0.007205409896173937
MOEAD_ASF,23,0.3493340502889511,0.007197888135911,97,230.47412490000715,10000,7552,2448,0.012811060745332694,0.01909166313016386
MOEAD_ASF,29,0.3534816728922815,0.010578901021091056,98,226.2314117999631,10000,7430,2570,0.004866306834688876,0.009609448947322408
MOEAD_ASF,31,0.3528836884056763,0.008869474277419073,98,228.33021169999847,10000,7461,2539,0.006942090897765859,0.00855779635174092
MOEAD_ASF,37,0.35316773478456276,0.017076707985896188,99,227.06634329998633,10000,7440,2560,0.0020556324576165965,0.011558066861066196
MOEAD_ASF,41,0.3524539165049572,0.019041487603219432,100,228.59468159999233,10000,7450,2550,0.0018864593183421062,0.013172202251691578
MOEAD_ASF,43,0.35110281116067266,0.013858424903906253,98,226.58310270000948,10000,7459,2541,0.0029103407171596624,0.022666223185298096
MOEAD_ASF,47,0.3492585245022566,0.013467529520304038,100,227.86442569998326,10000,7442,2558,0.003133147155269255,0.0275872900534766
